,SR,District,Township
32548,Mandalay,Kyaukse,Kyaukse
34015,Mandalay,Kyaukse,Myittha
35497,Mandalay,Kyaukse,Sintgaing
35621,Mandalay,Kyaukse,Tada-U
31837,Mandalay,Mandalay,Amarapura
34834,Mandalay,Mandalay,Patheingyi
33348,Mandalay,Meiktila,Meiktila
33119,Mandalay,Meiktila,Mahlaing
36376,Mandalay,Meiktila,Wundwin
36073,Mandalay,Meiktila,Thazi
34445,Mandalay,Myingyan,Ngazun
35958,Mandalay,Myingyan,Taungtha
34160,Mandalay,Myingyan,Natogyi
33861,Mandalay,Myingyan,Myingyan
34482,Mandalay,Nyaung-U,Nyaung-U
32342,Mandalay,Nyaung-U,Kyaukpadaung
32861,Mandalay,Pyinoolwin,Madaya
33534,Mandalay,Pyinoolwin,Mogoke
36005,Mandalay,Pyinoolwin,Thabeikkyin
35279,Mandalay,Pyinoolwin,Singu
35254,Mandalay,Pyinoolwin,Pyinoolwin
36595,Mandalay,Yamethin,Yamethin
34838,Mandalay,Yamethin,Pyawbwe
