,SR,District,Township
31413,Magway,Gangaw,Tilin
27519,Magway,Gangaw,Gangaw
30397,Magway,Gangaw,Saw
27863,Magway,Magway,Magway
28922,Magway,Magway,Natmauk
31175,Magway,Magway,Taungdwingyi
28862,Magway,Magway,Myothit
27241,Magway,Magway,Chauk
31439,Magway,Magway,Yenangyaung
30343,Magway,Minbu,Salin
29222,Magway,Minbu,Ngape
30742,Magway,Minbu,Sidoktaya
29748,Magway,Minbu,Pwintbyu
28053,Magway,Minbu,Minbu
31695,Magway,Pakokku,Yesagyo
30560,Magway,Pakokku,Seikphyu
29384,Magway,Pakokku,Pakokku
29732,Magway,Pakokku,Pauk
28678,Magway,Pakokku,Myaing
27634,Magway,Thayet,Kamma
28104,Magway,Thayet,Mindon
31327,Magway,Thayet,Thayet
27023,Magway,Thayet,Aunglan
30893,Magway,Thayet,Sinbaungwe
28371,Magway,Thayet,Minhla
