,SR,District,Township
39028,Rakhine,Kyaukpyu,Ann
39907,Rakhine,Kyaukpyu,Kyaukpyu
42206,Rakhine,Kyaukpyu,Ramree
41536,Rakhine,Kyaukpyu,Munaung
40512,Rakhine,Maungdaw,Maungdaw
39667,Rakhine,Maungdaw,Buthidaung
41200,Rakhine,Mrauk-U,Mrauk-U
41581,Rakhine,Mrauk-U,Myebon
41170,Rakhine,Mrauk-U,Minbya
40357,Rakhine,Mrauk-U,Kyauktaw
42458,Rakhine,Sittwe,Rathedaung
42159,Rakhine,Sittwe,Ponnagyun
42696,Rakhine,Sittwe,Sittwe
41929,Rakhine,Sittwe,Pauktaw
42892,Rakhine,Thandwe,Thandwe
43020,Rakhine,Thandwe,Toungup
39715,Rakhine,Thandwe,Gwa
