,SR,District,Township
44207,Sagaing,Hkamti,Homalin
43946,Sagaing,Hkamti,Hkamti
44564,Sagaing,Kale,Kale
44856,Sagaing,Kale,Kalewa
46444,Sagaing,Kale,Mingin
45006,Sagaing,Kanbalu,Kanbalu
45975,Sagaing,Kanbalu,Kyunhla
48859,Sagaing,Katha,Tigyaing
44399,Sagaing,Katha,Indaw
45410,Sagaing,Katha,Katha
43397,Sagaing,Katha,Banmauk
45625,Sagaing,Kawlin,Kawlin
49230,Sagaing,Kawlin,Wuntho
47556,Sagaing,Kawlin,Pinlebu
47208,Sagaing,Mawlaik,Paungbyin
46209,Sagaing,Mawlaik,Mawlaik
46484,Sagaing,Monywa,Monywa
43231,Sagaing,Monywa,Ayadaw
43637,Sagaing,Monywa,Budalin
43904,Sagaing,Monywa,Chaung-U
46047,Sagaing,Naga Self-Administered Zone,Lahe
46931,Sagaing,Naga Self-Administered Zone,Nanyun
46208,Sagaing,Naga Self-Administered Zone,Lay Shi
47715,Sagaing,Sagaing,Sagaing
46699,Sagaing,Sagaing,Myaung
46841,Sagaing,Sagaing,Myinmu
48952,Sagaing,Shwebo,Wetlet
48444,Sagaing,Shwebo,Tabayin
48774,Sagaing,Shwebo,Taze
49451,Sagaing,Shwebo,Ye-U
48124,Sagaing,Shwebo,Shwebo
45897,Sagaing,Shwebo,Khin-U
48478,Sagaing,Tamu,Tamu
47121,Sagaing,Yinmarbin,Pale
49729,Sagaing,Yinmarbin,Yinmarbin
45236,Sagaing,Yinmarbin,Kani
47949,Sagaing,Yinmarbin,Salingyi
