,SR,District,Township
70001,Yangon,Yangon (East),Dagon Myothit (East)
70015,Yangon,Yangon (East),Dagon Myothit (South)
70011,Yangon,Yangon (East),Dagon Myothit (Seikkan)
71671,Yangon,Yangon (North),Taikkyi
71274,Yangon,Yangon (North),Mingaladon
71293,Yangon,Yangon (North),Shwepyithar
70674,Yangon,Yangon (North),Htantabin
70315,Yangon,Yangon (North),Hmawbi
70239,Yangon,Yangon (North),Hlegu
70089,Yangon,Yangon (North),Hlaingtharya (West)
70080,Yangon,Yangon (North),Hlaingtharya (East)
72215,Yangon,Yangon (South),Twantay
71788,Yangon,Yangon (South),Thanlyin
72007,Yangon,Yangon (South),Thongwa
71131,Yangon,Yangon (South),Kungyangon
71269,Yangon,Yangon (South),Kyauktan
70869,Yangon,Yangon (South),Kayan
70853,Yangon,Yangon (South),Kawhmu
70069,Yangon,Yangon (South),Dala
